sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
V20231115_TL_PICO_U937_4EBP1,07aa790b-daf9-42c1-b643-b29fbe817187,Nanoplate 26K 24-well,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25387,19.891,0,-1.4909423984211946E-7,1.8208606164178815E-7,5.87290003954688E-12,7.172414794002669E-12,7.789985151244528E-9,9.513699257200062E-9,-,-,-,-,-,-,-,-,-,9.315520322935215E-7,8.259501993909852E-7
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25387,19.891,0,-,-,0.0,3.008176887461936E-8,0.0,3.990133175747611E-5,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25387,19.891,0,-,-,0.0,2.980771780628278E-8,0.0,3.95378224624687E-5,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25387,19.891,12,-,-,4.72869142278671E-4,1.3714352676855399E-4,0.6272273616148236,0.18191115631499316,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25387,19.891,0,-,-,0.0,6.955102933606848E-9,0.0,9.225450495213066E-6,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25387,19.891,2,-,-,7.882705348558582E-5,5.596665279022036E-5,0.10455849274363764,0.0742357934350799,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25387,19.891,2,-,-,7.882705348558582E-5,5.550099947408814E-5,0.10455849274363764,0.07361813735480074,,,,-,-,,,-,-,-,-
,,,A1,-,U937 cells,NTC,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25387,19.891,25371,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25145,19.633,404,172.72550146713425,7.793310595000876,0.009240193063417668,8.633543970859677E-4,12.417524259420961,1.1602272914336154,-,-,-,-,-,-,-,-,-,1.9180208336894993,0.17868036877344678
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25145,19.633,432,-,-,0.009551811710088731,0.0011230088483843795,12.836296040288346,1.5091664776536171,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25145,19.633,750,-,-,0.017871844030899253,0.001400075398067412,24.01725324256333,1.8815050834111238,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25145,19.633,1661,-,-,0.10159991236828936,0.0024594822478592746,136.53604074389784,3.3051993901858654,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25145,19.633,628,-,-,0.005544391695525619,0.0013334904181128283,7.450885269431463,1.7920242037125687,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25145,19.633,2271,-,-,0.13646457055330474,0.0028813187009352707,183.38925429014375,3.872088453393581,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25145,19.633,3467,-,-,0.201483934332982,0.0034162692872989828,270.7661653054244,4.590987056287697,,,,-,-,,,-,-,-,-
,,,A2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25145,19.633,15532,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,A3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,24935,19.748,224,131.92627903931267,7.985763116360332,0.0036993837569814225,6.807753694388218E-4,4.942502584778096,0.9095390595135645,-,-,-,-,-,-,-,-,-,0.7270481068337571,0.13344182934580834
,,,A3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,24935,19.748,382,-,-,0.0036983906127956434,0.0011212751143434097,4.941175710350428,1.4980617083672534,,,,-,-,,,-,-,-,-
