sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error,CXT matrix RM template name,CXT matrix RM template ID,REF
V20231115_TL_PICO_U937_4EBP1,c56e59da-8b8a-4b08-adb3-7da7ac64153f,Nanoplate 26K 24-well,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,+++,25352,19.891,0,-7.48E-08,1.10E-07,2.95E-12,4.33E-12,3.91E-09,5.75E-09,-,-,-,-,-,-,-,-,-,4.98E-07,5.58E-07,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,++-,25352,19.891,0,-,-,0,2.98E-08,0,3.96E-05,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,+-+,25352,19.891,0,-,-,0,1.99E-08,0,2.64E-05,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,+--,25352,19.891,12,-,-,4.74E-04,1.35E-04,0.628068846,0.179329942,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,-++,25352,19.891,0,-,-,0,4.30E-09,0,5.70E-06,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,-+-,25352,19.891,2,-,-,7.89E-05,5.58E-05,0.104698795,0.073958584,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,--+,25352,19.891,1,-,-,3.95E-05,3.88E-05,0.052350431,0.051446843,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A1,-,ABX#1,ABX#1_NTC,"Green,Yellow,Red",G-Y-R,---,25352,19.891,25337,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+++,25157,19.633,327,163.4276584,7.496718084,0.006523291,7.83E-04,8.766388988,1.051888116,-,-,-,-,-,-,-,-,-,1.382843418,0.166170755,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,++-,25157,19.633,385,-,-,0.007661155,0.001074085,10.29551807,1.443419316,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+-+,25157,19.633,820,-,-,0.020276944,0.001443886,27.24937031,1.940380453,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+--,25157,19.633,1718,-,-,0.103868578,0.002528665,139.5848088,3.398170851,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-++,25157,19.633,578,-,-,0.004703899,0.00125717,6.321380256,1.689459967,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-+-,25157,19.633,2128,-,-,0.127139961,0.002756965,170.858286,3.704974996,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,--+,25157,19.633,3505,-,-,0.201556458,0.003425086,270.8636272,4.602835659,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,---,25157,19.633,15696,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+++,24940,19.748,234,136.876701,8.082488377,0.003901881,6.96E-04,5.213045356,0.930477926,-,-,-,-,-,-,-,-,-,0.764437997,0.136244095,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,++-,24940,19.748,397,-,-,0.004408693,0.001147904,5.890163464,1.533638302,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+-+,24940,19.748,693,-,-,0.008469135,0.00141613,11.31505303,1.891997986,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+--,24940,19.748,2069,-,-,0.129456636,0.002871283,172.9584707,3.836132357,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-++,24940,19.748,625,-,-,0.003206333,0.001364928,4.283770083,1.823589679,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-+-,24940,19.748,2246,-,-,0.139790986,0.002961569,186.7655136,3.956757379,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,--+,24940,19.748,3706,-,-,0.221191079,0.003630747,295.518808,4.850801101,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,A3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,---,24940,19.748,14970,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+++,25109,19.49,229,229,19.47094084,0,9.82E-04,0,1.329894039,-,-,-,-,-,-,-,-,-,0,0.120732815,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,++-,25109,19.49,585,-,-,0,0.001809746,0,2.449888436,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,B1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+-+,25109,19.49,1288,-,-,0,0.002397213,0,3.245155148,,,,-,-,,,-,-,-,-,,,Std-Ref
