sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
V20221130_TL_plate2_label_repalcement_GO,fbec8660-8223-4363-b828-3ff097bc6f65,Nanoplate 26K 24-well,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,++++,19522,20.207,0,0.0,4.797896959542478E-6,0.0,2.457687212253801E-10,0.0,3.208968150052174E-7,-,-,-,-,-,-,-,-,-,0.0,1.0431877772912032E-7
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,+++-,19522,20.207,0,-,-,0.0,6.745548549620666E-8,0.0,8.807569304359463E-5,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,++-+,19522,20.207,0,-,-,1.3647585561660236E-9,7.721939374572831E-10,1.7819463426478136E-6,1.0082429279889621E-6,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,++--,19522,20.207,0,-,-,0.0,2.2598152080596315E-7,0.0,2.9506094150267393E-4,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,+-++,19522,20.207,0,-,-,0.0,2.9655971567815615E-7,0.0,3.8721391292386164E-4,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,+-+-,19522,20.207,14,-,-,4.372465626421296E-4,2.0155074618954689E-4,0.5709067802617879,0.2631620174922059,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,+--+,19522,20.207,0,-,-,0.0,6.319807897134674E-7,0.0,8.25168563161287E-4,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,+---,19522,20.207,21,-,-,0.001359883648129917,2.943458719836082E-4,1.7755812427505187,0.38432332787724643,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,-+++,19522,20.207,0,-,-,1.8647201237764408E-7,9.520204270119378E-8,2.4347392361913006E-4,1.2430398845094754E-4,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,-++-,19522,20.207,0,-,-,0.0,3.0500798209559535E-5,0.0,0.039824469736280434,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,-+-+,19522,20.207,0,-,-,0.0,2.5675744143024214E-7,0.0,3.352446347649581E-4,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,-+--,19522,20.207,5,-,-,3.2394959627635167E-4,1.473750326063561E-4,0.4229765006262811,0.19242553868887513,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,--++,19522,20.207,0,-,-,0.0,6.607171311573245E-5,0.0,0.08626892061392018,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Orange,Red",GREEN-YELLOW-ORANGE-RED,--+-,19522,20.207,4026,-,-,0.23181502094980802,0.0036682989981749684,302.67766183697404,4.789647189976165,,,,-,-,,,-,-,-,-
