sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
V20231115_TL_PICO_U937_4EBP1,07aa790b-daf9-42c1-b643-b29fbe817187,Nanoplate 26K 24-well,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,25387,19.891,0,-1.4909423984211946E-7,1.7652204741337432E-7,5.87290003954688E-12,6.953246500730465E-12,7.789985151244528E-9,9.222988068738254E-9,-,-,-,-,-,-,-,-,-,9.315520322935215E-7,8.132340929104615E-7
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25387,19.891,0,-,-,0.0,2.9310470983674985E-8,0.0,3.8878259837779944E-5,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25387,19.891,0,-,-,0.0,2.906475635169218E-8,0.0,3.855233681479295E-5,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25387,19.891,12,-,-,4.72869142278671E-4,1.359204289327392E-4,0.6272273616148236,0.18028880382893728,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,25387,19.891,0,-,-,0.0,6.936371799549163E-9,0.0,9.20060497507944E-6,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,25387,19.891,2,-,-,7.882705348558582E-5,5.499590000543865E-5,0.10455849274363764,0.07294815875237512,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,25387,19.891,2,-,-,7.882705348558582E-5,5.576763473181777E-5,0.10455849274363764,0.07397181010327687,,,,-,-,,,-,-,-,-
,,,A1,-,ABX#1,NTC,"Green,Yellow,Red",GREEN-YELLOW-RED,---,25387,19.891,25371,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,25145,19.633,404,172.72550146713425,7.7218492197766535,0.009240193063417668,8.575059465257608E-4,12.417524259420961,1.1523677936706398,-,-,-,-,-,-,-,-,-,1.9180208336894993,0.17778480200306457
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25145,19.633,432,-,-,0.009551811710088731,0.001121318741547834,12.836296040288346,1.5068952109712246,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25145,19.633,750,-,-,0.017871844030899253,0.0014076886968417439,24.01725324256333,1.8917362897912988,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25145,19.633,1661,-,-,0.10159991236828936,0.0025104620475064165,136.53604074389784,3.3737090949630364,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,25145,19.633,628,-,-,0.005544391695525619,0.0013268909429575838,7.450885269431463,1.7831554341666016,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,25145,19.633,2271,-,-,0.13646457055330474,0.002863200808482888,183.38925429014375,3.847740545561683,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,25145,19.633,3467,-,-,0.201483934332982,0.0034401119499643845,270.7661653054244,4.623028252832492,,,,-,-,,,-,-,-,-
,,,A2,-,ABX#1,S#1,"Green,Yellow,Red",GREEN-YELLOW-RED,---,25145,19.633,15532,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,24935,19.748,224,131.92627903931267,7.970937719003398,0.0036993837569814225,6.811008245326581E-4,4.942502584778096,0.9099738785937639,-,-,-,-,-,-,-,-,-,0.7270481068337571,0.13351037022451884
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,24935,19.748,382,-,-,0.0036983906127956434,0.0011217698633394014,4.941175710350428,1.4987227098615943,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,24935,19.748,713,-,-,0.008903732857875546,0.0014401935025287005,11.895690081131677,1.9241475273808604,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,24935,19.748,2106,-,-,0.13145298849079456,0.002894487271747287,175.62566580621447,3.8671334908740334,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,-++,24935,19.748,600,-,-,0.0025144002084667716,0.001347375194115536,3.359324240438895,1.8001391088487086,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,-+-,24935,19.748,2202,-,-,0.1370523032075322,0.0029159548637567707,183.1065408055261,3.8958149243142914,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,--+,24935,19.748,3717,-,-,0.2215012188334619,0.0036592561814535007,295.9331657738535,4.888890778381059,,,,-,-,,,-,-,-,-
,,,A3,-,ABX#1,S#2,"Green,Yellow,Red",GREEN-YELLOW-RED,---,24935,19.748,14991,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,+++,25113,19.49,215,215.00000000000318,18.882569091897597,0.0,9.513242043462725E-4,0.0,1.28782646523715,-,-,-,-,-,-,-,-,-,0.0,0.11767844559554488
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,++-,25113,19.49,564,-,-,0.0,0.0017659211845651405,0.0,2.3905625722712505,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,+-+,25113,19.49,1302,-,-,0.0,0.002375057205075862,0.0,3.2151620984464624,,,,-,-,,,-,-,-,-
,,,B1,-,ABX#1,ABC,"Green,Yellow,Red",GREEN-YELLOW-RED,+--,25113,19.49,2789,-,-,0.22282132292310064,0.00426595531646948,301.63764925618716,5.774908418149347,,,,-,-,,,-,-,-,-
