group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,S#1,A2,25295,19.858,1,-18.858,GY,2713,0.13448630015864005,3287,0.16078793083721088,470,0.0,473.0,0.0,9.0,0.0
ABX#1,S#2,A3,25170,19.63,1,-18.63,GY,2782,0.14049125076680902,3305,0.16469475067552608,517,22.0,495.0,0.0,0.0,1.0
ABX#1,ABC,B1,25088,19.683,1,-18.683,GY,3188,0.16975732348119443,3911,0.20450456597287214,729,7.0,722.0,0.0,0.0,0.0
ABX#1,S#1,B2,25324,19.231,1,-18.231,GY,2788,0.1375786538158561,3357,0.1636996275482634,467,0.0,492.0,0.0,625.0,0.0
ABX#1,S#2,B3,25355,19.306,1,-18.306,GY,2710,0.1337398826783307,3339,0.1625073295789754,464,0.0,476.0,0.0,144.0,0.0
ABX#1,ABC,C1,25344,19.494,1,-18.494,GY,2466,0.12076154371535708,3143,0.15136626026055744,417,16.0,401.0,0.0,0.0,1.0
ABX#1,S#1,C2,25353,18.915,1,-17.915,GY,2342,0.11225168097766769,2891,0.13677661864519486,350,8.0,342.0,0.0,0.0,0.0
ABX#1,S#2,C3,25445,19.221,1,-18.221,GY,1853,0.08314241740528949,2255,0.100459986395526,177,0.0,194.0,0.0,289.0,0.0
ABX#1,ABC,D1,25288,19.374,1,-18.374,GY,2739,0.1362920125752023,3217,0.15819237015692167,483,16.0,467.0,0.0,0.0,1.0
ABX#1,S#1,D2,25447,18.714,1,-17.714,GY,1608,0.07116500469775566,1961,0.08617219462534642,140,0.0,144.0,0.0,16.0,0.0
ABX#1,S#2,D3,25263,19.172,1,-18.172,GY,2846,0.1448653913275848,3431,0.17199623203445036,561,33.0,529.0,1.0,0.0,2.0
ABX#1,ABC,E1,25372,19.423,1,-18.423,GY,2522,0.12119813052169803,2954,0.14060574775066215,374,0.0,380.0,0.0,36.0,0.0
ABX#1,S#1,E2,25432,18.807,1,-17.807,GY,1579,0.0694367303695902,1917,0.08378515329507863,127,0.0,137.0,0.0,100.0,0.0
ABX#1,S#2,E3,25350,18.944,1,-17.944,GY,2649,0.13016709485610534,3190,0.15477546405040776,445,2.0,443.0,0.0,0.0,0.0
ABX#1,ABC,F1,25363,19.45,1,-18.45,GY,2624,0.1260624945348443,3097,0.1474442561062581,380,0.0,412.0,0.0,1024.0,0.0
ABX#1,S#1,F2,25325,18.902,1,-17.902,GY,2251,0.1057774063178325,2601,0.12125896110357814,291,1.0,290.0,0.0,0.0,0.0
ABX#1,S#2,F3,25393,19.178,1,-18.178,GY,1968,0.08889986369810465,2377,0.10666093158005552,192,0.0,219.0,0.0,729.0,0.0
ABX#1,ABC,G1,25353,19.578,1,-18.578,GY,2147,0.0994048529719791,2634,0.12084950029511532,252,0.0,273.0,0.0,441.0,0.0
ABX#1,S#1,G2,25284,19.156,1,-18.156,GY,2273,0.10719031014059688,2799,0.1306201824170632,297,0.0,315.0,0.0,324.0,0.0
ABX#1,S#2,G3,25045,19.303,1,-18.303,GY,2179,0.10414123310988366,2578,0.1219792901977641,298,17.0,281.0,0.0,0.0,1.0
ABX#1,ABC,H1,25308,19.721,1,-18.721,GY,2999,0.15054174232052908,3528,0.1751401973852893,538,0.0,568.0,0.0,900.0,0.0
ABX#1,S#1,H2,25219,19.408,1,-18.408,GY,2975,0.1524074837913627,3574,0.18045961706617852,590,2.0,588.0,0.0,0.0,0.0
ABX#1,S#2,H3,25176,19.539,1,-18.539,GY,3015,0.154494982287126,3547,0.1794657718925965,589,0.0,592.0,0.0,9.0,0.0
ABX#1,S#1,A2,25295,19.858,1,-18.858,GO,2458,0.13448630015864005,4090,0.21115794757259287,725,168.0,554.0,-3.0,0.0,8.0
ABX#1,S#2,A3,25170,19.63,1,-18.63,GO,2562,0.14049125076680902,4351,0.22582891768997904,737,109.0,631.0,3.0,0.0,6.0
ABX#1,ABC,B1,25088,19.683,1,-18.683,GO,3050,0.16975732348119443,4992,0.2659700879995466,867,0.0,915.0,0.0,2304.0,0.0
ABX#1,S#1,B2,25324,19.231,1,-18.231,GO,2531,0.1375786538158561,4240,0.21818037099955845,724,130.0,597.0,3.0,0.0,7.0
ABX#1,S#2,B3,25355,19.306,1,-18.306,GO,2521,0.1337398826783307,4142,0.2096285086600176,653,79.0,576.0,2.0,0.0,4.0
ABX#1,ABC,C1,25344,19.494,1,-18.494,GO,2399,0.12076154371535708,4052,0.19720448748566533,484,0.0,516.0,0.0,1024.0,0.0
ABX#1,S#1,C2,25353,18.915,1,-17.915,GO,2143,0.11225168097766769,3717,0.1842403293685777,549,134.0,417.0,2.0,0.0,7.0
ABX#1,S#2,C3,25445,19.221,1,-18.221,GO,1725,0.08314241740528949,2852,0.132470843003345,305,68.0,238.0,1.0,0.0,4.0
ABX#1,ABC,D1,25288,19.374,1,-18.374,GO,2630,0.1362920125752023,4288,0.21440299407380614,592,0.0,622.0,0.0,900.0,0.0
ABX#1,S#1,D2,25447,18.714,1,-17.714,GO,1475,0.07116500469775566,2499,0.11533486185461683,273,101.0,173.0,1.0,0.0,5.0
ABX#1,S#2,D3,25263,19.172,1,-18.172,GO,2649,0.1448653913275848,4446,0.23066294387340314,758,88.0,672.0,2.0,0.0,5.0
ABX#1,ABC,E1,25372,19.423,1,-18.423,GO,2364,0.12119813052169803,4021,0.19778017247801394,532,17.0,515.0,0.0,0.0,1.0
ABX#1,S#1,E2,25432,18.807,1,-17.807,GO,1448,0.0694367303695902,2421,0.11131121877351191,258,95.0,164.0,1.0,0.0,5.0
ABX#1,S#2,E3,25350,18.944,1,-17.944,GO,2446,0.13016709485610534,4157,0.21016112770182005,648,92.0,558.0,2.0,0.0,5.0
ABX#1,ABC,F1,25363,19.45,1,-18.45,GO,2485,0.1260624945348443,3919,0.1923468027269717,519,0.0,526.0,0.0,49.0,0.0
ABX#1,S#1,F2,25325,18.902,1,-17.902,GO,2067,0.1057774063178325,3321,0.16239118665555452,475,127.0,350.0,2.0,0.0,7.0
ABX#1,S#2,F3,25393,19.178,1,-18.178,GO,1834,0.08889986369810465,3040,0.1422045718892342,326,52.0,275.0,1.0,0.0,3.0
