group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,S#1,A2,25145,19.633,1,-18.633,GY,2411,0.1382637611726949,2899,0.16080096702233782,836,477.0,359.0,0.0,0.0,25.0
ABX#1,S#2,A3,24935,19.748,1,-18.748,GY,2819,0.14775449571844668,2802,0.14696447778577593,606,192.0,417.0,3.0,0.0,10.0
ABX#1,ABC,B1,25113,19.49,1,-18.49,GY,4091,0.21557658556658943,3850,0.2037415467457251,779,0.0,898.0,0.0,14161.0,0.0
ABX#1,S#1,B2,25235,18.76,1,-17.76,GY,3128,0.18080893083287997,3446,0.19602307942821717,1046,445.0,598.0,-3.0,0.0,24.0
ABX#1,S#2,B3,25194,19.44,1,-18.44,GY,2773,0.14653244894237005,3163,0.16461780159905537,661,190.0,468.0,-3.0,0.0,10.0
ABX#1,ABC,C1,25300,19.318,1,-18.318,GY,3492,0.17703909092887393,3435,0.17435338714477844,613,0.0,657.0,0.0,1936.0,0.0
ABX#1,S#1,C2,25262,18.802,1,-17.802,GY,2599,0.1388499207399594,2771,0.14670348377621067,676,304.0,370.0,-2.0,0.0,16.0
ABX#1,S#2,C3,25262,19.174,1,-18.174,GY,2970,0.1532340441455169,2964,0.15295724030540292,619,156.0,466.0,3.0,0.0,8.0
ABX#1,ABC,D1,25163,19.355,1,-18.355,GY,3934,0.2046571353601312,3677,0.1922021050801952,723,0.0,814.0,0.0,8281.0,0.0
ABX#1,S#1,D2,25307,18.564,1,-17.564,GY,2891,0.16223771693524824,3136,0.1736893833658435,899,418.0,482.0,1.0,0.0,23.0
ABX#1,S#2,D3,25221,19.114,1,-18.114,GY,3544,0.1867323644457315,3274,0.1739116760166688,752,102.0,653.0,3.0,0.0,5.0
ABX#1,ABC,E1,25273,19.342,1,-18.342,GY,3101,0.1519175876488461,2980,0.1463598487949085,461,0.0,485.0,0.0,576.0,0.0
ABX#1,S#1,E2,25237,18.618,1,-17.618,GY,2894,0.17440433404962263,3603,0.20842301488962356,1145,569.0,575.0,-1.0,0.0,31.0
ABX#1,S#2,E3,25383,19.147,1,-18.147,GY,2152,0.10881146370744865,2424,0.1208310516286435,465,214.0,253.0,2.0,0.0,11.0
ABX#1,ABC,F1,25154,19.327,1,-18.327,GY,2975,0.1459550484839678,2782,0.13711576859959607,441,4.0,437.0,0.0,0.0,0.0
ABX#1,S#1,F2,25247,18.711,1,-17.711,GY,3105,0.17730386585703783,3377,0.19025087901771975,997,425.0,575.0,3.0,0.0,23.0
ABX#1,S#2,F3,25230,19.099,1,-18.099,GY,3039,0.15631314309963784,3088,0.1585864512766939,612,110.0,504.0,2.0,0.0,6.0
ABX#1,ABC,G1,25361,19.271,1,-18.271,GY,2562,0.12308074710576555,2839,0.13551051383054435,375,4.0,371.0,0.0,0.0,0.0
ABX#1,S#1,G2,25226,19.027,1,-18.027,GY,2844,0.1585672474526909,3136,0.17222444489976674,855,380.0,475.0,0.0,0.0,20.0
ABX#1,S#2,G3,25317,19.199,1,-18.199,GY,2877,0.15163249067129492,2977,0.1562397321773492,685,230.0,452.0,-3.0,0.0,12.0
ABX#1,ABC,H1,25175,19.873,1,-18.873,GY,3368,0.17653100588070636,3677,0.191283141265437,706,0.0,709.0,0.0,9.0,0.0
ABX#1,S#1,H2,25234,19.524,1,-18.524,GY,3183,0.18000989295063974,3412,0.19093427112306038,974,375.0,601.0,2.0,0.0,19.0
ABX#1,S#2,H3,25263,19.467,1,-18.467,GY,2938,0.15586083254004812,3212,0.16861705765453294,708,196.0,509.0,-3.0,0.0,10.0
ABX#1,S#1,A2,25145,19.633,1,-18.633,GR,2093,0.1382637611726949,4095,0.23414036312282427,1154,689.0,464.0,-1.0,0.0,36.0
ABX#1,S#2,A3,24935,19.748,1,-18.748,GR,2488,0.14775449571844668,4317,0.23661873565678526,937,325.0,613.0,1.0,0.0,17.0
ABX#1,ABC,B1,25113,19.49,1,-18.49,GR,3353,0.21557658556658943,6378,0.37743029211026524,1517,0.0,1531.0,0.0,196.0,0.0
